base_key,base_number,base_name,base_type,base_telephone_number,website,base_address
3152,B03152,EXIT LUXURY INC.,BLACK-CAR,(718)472-9800,,29 - 10   36 AVENUE LONGISLAND CITY NY 11106
3036,B03036,ZYNC INC,BLACK-CAR,(718)482-1818,,12-04   44 AVENUE LIC NY 11101
171,B00171,CURB TRANSPORTATION SERVICES LLC.,LIVERY,(718)222-0600,WWW.CURBTRANSPORTATION.COM,11 - 11   34 AVENUE ASTORIA NY 11106
1899,B01899,"ALLSTATE PRIVATE CAR & LIMO,INC",BLACK-CAR,(212)741-1562,,241   37 STREET STE#1-4-B443 BROOKLYN NY 11232
3038,B03038,"SOUTH BRONX TRANSPORTATION,INC.",BLACK-CAR,(347)590-7005,WWW.SOUTHBRONXTRANS.COM,250 BROOK AVENUE BRONX NY 10454
3407,B03407,ZOOM TRANSIT INC,BLACK-CAR,(718)583-9100,,2078 CROSS BRONX EXPRESSWAY BRONX NY 10472
2932,B02932,GRAND TRANSPORTATION SERVICES INC,BLACK-CAR,(718)433-4255,WWW.GRANDLIMONY.COM,36-13   32 STREET LIC NY 11106
2902,B02902,NY CAR & LIMO SERVICES INC.,BLACK-CAR,(718)255-1798,WWW.NYINSURANCEB.COM,71-16   35 AVENUE JACKSON HEIGHTS NY 11372
3494,B03494,NYC WHEELS CAR SERVICE INC.,BLACK-CAR,(718)621-4888,,653 EAST    5 STREET BROOKLYN NY 11218
3703,B03703,ABDEL TRANSPORTATION INC.,BLACK-CAR,(347)638-5737,ABDELTRANSPORTATIONBK.COM,97 GRAHAM AVENUE BROOKLYN NY 11206
2972,B02972,BLESSING TRANSPORTATION GROUP INC,BLACK-CAR,(917)473-7373,WWW.BLESSINGTRANSPORTATIONGROUP.COM,1890 RANDALL AVENUE BRONX NY 10473
1593,B01593,"NOVAK GLOBAL, INC.",LIVERY,(718)591-7000,,77-35  164 STREET FLUSHING NY 11366
647,B00647,KISS CAR SERVICE INC,LIVERY,(718)733-1111,,2811 WHITE PLAINS ROAD BRONX NY 10467
